index,headSize,headWidth,foreheadPosition,foreheadSize,jawsPosition,jawsSize,chinPosition,chinSize,chinPronounced,lowCheek,cheekPosition,cheekSize,earsPosition,earsRotation,earsSize,eyeSize,eyePosition,eyeDepth,eyeRotation,eyeDistance,eyeSquint,noseSize,nosePosition,noseFlatten,nosePronounced,noseWidth,noseBridge,noseCurve,noseInclination,mouthSize,mouthPosition,mouthPronounced,lipsSize
2023-07-17 15:57:52:1216,0.6236476,0.2485877,0.177108,0.2104931,0.2508469,0.3642201,0.6691266,0.6156631,0.04057229,0.006934524,0.5638229,0.169253,0.1464863,0.8861911,0.8563527,0.326961,0.06718552,0.6938359,0.8747476,0.1726124,0.9143038,0.2539746,0.05785787,0.9098634,0.2893628,0.6434178,0.7977852,0.1371051,0.7050947,0.06686664,0.8907337,0.943006,0.2998859
2023-07-17 15:57:52:6216,0.004633427,0.2156521,0.6963811,0.9841297,0.1673963,0.9594351,0.7205168,0.318045,0.8814435,0.02058983,0.4976857,0.05166781,0.4072803,0.1645814,0.9680284,0.1327584,0.7615029,0.06618297,0.523044,0.1032906,0.5158427,0.7057728,0.8955401,0.1936396,0.6380004,0.1917065,0.8958756,0.5180849,0.5314659,0.8004106,0.5132048,0.6637495,0.6335255
2023-07-17 15:57:53:1216,0.7984449,0.9045711,0.2716953,0.128582,0.7904233,0.207957,0.9221942,0.4317638,0.8654236,0.8131238,0.4885957,0.328332,0.7697848,0.8033049,0.01809561,0.3835312,0.8537364,0.1247971,0.4297468,0.3982252,0.8765181,0.3114038,0.9335632,0.5213562,0.8755127,0.6656873,0.7080567,0.3156016,0.8314816,0.8267945,0.405643,0.5203488,0.1839032
2023-07-17 15:57:53:6236,0.9706644,0.4410607,0.761709,0.07219672,0.5337272,0.07628846,0.1079481,0.4912753,0.08687472,0.6940176,0.2575591,0.4720193,0.3063307,0.8441877,0.9014026,0.5188783,0.2507868,0.4039052,0.4798434,0.02571321,0.4835573,0.6850221,0.9081452,0.4390002,0.1475021,0.2422036,0.8276745,0.6346588,0.3164409,0.1338671,0.1745576,0.09551728,0.320953
2023-07-17 15:57:54:1276,0.6953369,0.6769077,0.4512269,0.4271193,0.6565063,0.3249155,0.06306672,0.9182673,0.7437987,0.2309824,0.5510408,0.5238124,0.8442556,0.8257074,0.8335778,0.6899379,0.1071107,0.8498259,0.03851926,0.3793995,0.1441311,0.5223826,0.7952353,0.4271715,0.5566528,0.2131455,0.3991604,0.1211321,0.6731018,0.06174433,0.7261312,0.1128047,0.2402475
2023-07-17 15:57:54:6256,0.9934902,0.4831988,0.8546004,0.06698692,0.8550965,0.101229,0.2669855,0.9345679,0.2656037,0.4661552,0.8355677,0.2284287,0.371093,0.5503636,0.3393485,0.05170882,0.9097477,0.619502,0.04136026,0.6995087,0.2963769,0.2386124,0.2872475,0.2204965,0.1361662,0.9799253,0.8598512,0.5443395,0.9535873,0.9017854,0.8491249,0.7538838,0.8852476
2023-07-17 15:57:55:1276,0.911257,0.2931471,0.002010942,0.3376278,0.1471229,0.1766477,0.3397557,0.9942613,0.3499607,0.1408607,0.5575472,0.6638436,0.3538721,0.4270871,0.1638815,0.7504317,0.3974603,0.2171568,0.09675682,0.1196531,0.7860481,0.05275667,0.6839983,0.2195624,0.3380335,0.3068256,0.6754829,0.6000128,0.1322207,0.4557143,0.2930763,0.9937268,0.5614272
2023-07-17 15:57:55:6286,0.9717395,0.270811,0.8460367,0.5539225,0.6387422,0.6327037,0.4876152,0.5944963,0.6358888,0.6974376,0.3455039,0.3243435,0.7652652,0.6272538,0.5259978,0.1988821,0.9250743,0.1206708,0.6903359,0.8700749,0.01292455,0.8664917,0.1481352,0.9670315,0.2289823,0.8320509,0.4653073,0.421505,0.9184396,0.655037,0.2774776,0.002262354,0.2789878
2023-07-17 15:57:56:1316,0.7851416,0.01911652,0.2728527,0.8454504,0.7457265,0.4052231,0.9946159,0.1531355,0.7423443,0.08435071,0.8871073,0.1116533,0.3998443,0.313421,0.8693249,0.4540121,0.6807727,0.06648159,0.4403393,0.2580907,0.7977052,0.08427262,0.5359488,0.3952422,0.2987779,0.7316478,0.003526568,0.8840729,0.6450675,0.3384734,0.2410333,0.9976711,0.139799
2023-07-17 15:57:56:6306,0.8138442,0.3833949,0.9860983,0.6651655,0.8732938,0.04921365,0.9643329,0.7815374,0.5455779,0.2841852,0.1100121,0.2108561,0.6188626,0.7391458,0.4621786,0.2152475,0.2993606,0.8040494,0.04224849,0.4941749,0.888023,0.6705505,0.06453264,0.4792303,0.1182438,0.6352167,0.1661676,0.7639993,0.1055458,0.01039708,0.7575724,0.6395906,0.6913171
2023-07-17 15:57:57:1326,0.9326752,0.02097332,0.6080318,0.9210312,0.8896341,0.3290263,0.8898246,0.7077057,0.929055,0.847276,0.4524245,0.9908615,0.4816726,0.3319474,0.2085142,0.1668668,0.3942056,0.08409595,0.337693,0.9070792,0.7604718,0.5528321,0.2630467,0.7520705,0.9013405,0.8420924,0.8324476,0.089028,0.6000895,0.2953933,0.2178736,0.1527791,0.9549825
2023-07-17 15:57:57:6316,0.8517146,0.8851695,0.03993928,0.6491555,0.003976345,0.2353274,0.3924349,0.2102792,0.5823885,0.2324858,0.8163502,0.4775781,0.9297725,0.3562445,0.6540574,0.41421,0.07567954,0.3836463,0.8362138,0.6613635,0.4344314,0.6517748,0.810308,0.5747864,0.866968,0.4133438,0.5050823,0.9385726,0.5438742,0.1564568,0.4259059,0.2572129,0.05949867
2023-07-17 15:57:58:1326,0.8842707,0.1314859,0.8562889,0.02089214,0.8566341,0.1648055,0.2487184,0.4989378,0.47921,0.4791119,0.2674091,0.02072537,0.417307,0.998282,0.3610334,0.5599608,0.880041,0.7199283,0.01293349,0.9997948,0.1398283,0.5348269,0.836308,0.7808732,0.3092105,0.2636488,0.3415406,0.3675687,0.08397555,0.3409864,0.1667211,0.3742736,0.254697
2023-07-17 15:57:58:6336,0.6537836,0.5753415,0.6335999,0.7322319,0.557116,0.4714664,0.04005706,0.8025252,0.5805849,0.7967185,0.6440347,0.311147,0.5274747,0.9700072,0.6698033,0.2344007,0.05268884,0.4623706,0.5996806,0.4538559,0.2054347,0.754758,0.9156243,0.7791989,0.8071193,0.9664315,0.645035,0.4175684,0.3269178,0.3752481,0.3189003,0.1955395,0.02494681
2023-07-17 15:57:59:1396,0.7469801,0.02697217,0.6690986,0.8540719,0.4153772,0.9595716,0.8801248,0.4520254,0.6069785,0.2101536,0.5463818,0.6089455,0.7446455,0.3521214,0.2847132,0.9544655,0.9761389,0.6784083,0.170278,0.391721,0.4358907,0.9712114,0.8561316,0.2833938,0.8425603,0.5104092,0.04489744,0.4888789,0.855092,0.9058741,0.712729,0.7044547,0.7977469
2023-07-17 15:57:59:6366,0.1583339,0.7882804,0.4802762,0.5295004,0.3666231,0.630609,0.2476081,0.4712313,0.2027714,0.5819066,0.2785705,0.2908037,0.7902684,0.3405258,0.2995645,0.2575061,0.8127359,0.6115236,0.1831102,0.9390991,0.212307,0.7315633,0.05561936,0.08481491,0.1138912,0.4574105,0.305672,0.2696578,0.4956132,0.4790871,0.5064635,0.7530324,0.2281826
2023-07-17 15:58:00:1366,0.7481444,0.4816603,0.4570742,0.1093775,0.6955864,0.5499765,0.8013277,0.9111788,0.7459376,0.7534106,0.5910326,0.9762844,0.6251442,0.5537513,0.3600749,0.03235352,0.6527915,0.02112257,0.666739,0.1133798,0.5732823,0.2480725,0.905983,0.5018089,0.9462119,0.7106647,0.622517,0.3762379,0.9134794,0.7890775,0.6958928,0.3930826,0.6099833
2023-07-17 15:58:00:6396,0.4337314,0.3522668,0.3895101,0.09749103,0.1165168,0.3187584,0.2560965,0.8108534,0.2798688,0.9670669,0.7472471,0.9146489,0.7853843,0.2987828,0.3879852,0.9055781,0.3274876,0.1569169,0.7165949,0.8610086,0.5261101,0.2940392,0.2618046,0.6430619,0.3436041,0.9641556,0.1588564,0.6205105,0.01348281,0.7845443,0.3696466,0.7266695,0.01957059
2023-07-17 15:58:01:1396,0.4968068,0.8813066,0.2032934,0.9922489,0.7302161,0.0868994,0.7032828,0.8903151,0.7629282,0.05067158,0.08091462,0.3852355,0.9626001,0.3000458,0.6345921,0.01258087,0.1775678,0.01927555,0.130509,0.9788662,0.683439,0.3346882,0.7108035,0.7029496,0.5424828,0.7909694,0.1603613,0.6710367,0.2715971,0.4233302,0.8697683,0.312319,0.3323393
2023-07-17 15:58:01:6396,0.9264015,0.1961478,0.4226962,0.6071009,0.8704457,0.02231848,0.8551027,0.7029492,0.645962,0.96182,0.4116982,0.563719,0.8885928,0.6086282,0.3934285,0.07880235,0.1205407,0.276247,0.3796199,0.9502306,0.743196,0.8030812,0.9239982,0.3021666,0.2736307,0.9384214,0.7071114,0.5651421,0.9484406,0.8702023,0.6432751,0.1638801,0.606665
2023-07-17 15:58:02:1406,0.5810978,0.3122362,0.2747056,0.3974064,0.3064565,0.336382,0.0246408,0.8322108,0.6515539,0.3527754,0.3968531,0.4302989,0.08160329,0.180823,0.1294328,0.4710303,0.4331421,0.7567304,0.9671776,0.6146321,0.9678679,0.2569267,0.4920835,0.7765714,0.6275034,0.381139,0.5921606,0.2647557,0.1623036,0.5917931,0.005287886,0.1246673,0.5582595
2023-07-17 15:58:02:6406,0.2348604,0.5434752,0.9760855,0.456669,0.5137241,0.4592306,0.7747021,0.3932468,0.9016933,0.7994337,0.5758117,0.1419344,0.9221383,0.08218825,0.2370306,0.4836773,0.08886468,0.6039016,0.6602976,0.7814921,0.7888825,0.8532205,0.5961843,0.06194913,0.6286469,0.02753627,0.803061,0.1629827,0.4585127,0.7343572,0.54358,0.1589139,0.4812904
2023-07-17 15:58:03:1436,0.09360123,0.6061704,0.305766,0.2268225,0.318044,0.8762584,0.8209151,0.4991094,0.9930342,0.7950131,0.748546,0.004390359,0.1778697,0.2890878,0.3071839,0.08104753,0.8348334,0.525875,0.3542791,0.2957913,0.4739605,0.8297182,0.6533761,0.8848124,0.2069387,0.09904623,0.2215576,0.744758,0.5590327,0.3219181,0.136801,0.1047031,0.9398999
2023-07-17 15:58:03:6436,0.879091,0.906508,0.3700866,0.6989951,0.06481028,0.4092867,0.8404381,0.1538591,0.457434,0.03770733,0.2101818,0.6218911,0.7719481,0.7519629,0.5501662,0.4841439,0.6855388,0.5825424,0.1970732,0.1661485,0.8595222,0.7979889,0.2799987,0.1631044,0.6846133,0.2476833,0.4381012,0.2705098,0.7936968,0.09881437,0.8874567,0.6607348,0.3327165
2023-07-17 15:58:04:1453,0.06882143,0.8726946,0.05484724,0.1821984,0.4085934,0.4184161,0.7682725,0.2477233,0.9990311,0.6170523,0.3472568,0.4520922,0.6767902,0.3460637,0.7332823,0.6530128,0.2623768,0.5053321,0.3224662,0.4095867,0.7842716,0.1735152,0.6790599,0.7340957,0.3280398,0.6181266,0.5314348,0.2833595,0.5610328,0.4363995,0.6590378,0.5501354,0.7499517
2023-07-17 15:58:04:6453,0.7483556,0.3973708,0.6138199,0.7736908,0.03706264,0.4841272,0.1528175,0.3970174,0.1313362,0.8647399,0.7811595,0.3961083,0.8950925,0.5069378,0.7604882,0.04799855,0.02542675,0.09651911,0.2712708,0.02841544,0.5553684,0.9800682,0.8843573,0.04217458,0.9100357,0.3403035,0.989643,0.325227,0.5948614,0.2962392,0.2200311,0.7143993,0.124474
2023-07-17 15:58:05:1543,0.8221643,0.598224,0.02080917,0.8768454,0.6788225,0.831879,0.8906767,0.195865,0.4221539,0.7526736,0.8528739,0.4251751,0.05899811,0.5261483,0.9423026,0.2986948,0.03027332,0.8752265,0.5931112,0.7946165,0.3389567,0.4569178,0.04388356,0.5321671,0.4352358,0.8929877,0.6749771,0.3369564,0.3272374,0.1983154,0.2880033,0.7638249,0.4356957
2023-07-17 15:58:05:6493,0.6901773,0.3927813,0.6954095,0.04840469,0.6193345,0.182256,0.3239529,0.9830849,0.2866799,0.3205796,0.1145253,0.1015499,0.2079186,0.2382135,0.4074689,0.7973033,0.4400418,0.312786,0.9037775,0.05393469,0.1981081,0.2832662,0.8918866,0.6665599,0.5868893,0.1553465,0.303152,0.6279355,0.7990574,0.5749424,0.07784486,0.592074,0.4319057
2023-07-17 15:58:06:1503,0.9085821,0.08007026,0.562354,0.4822155,0.04473615,0.649408,0.4826915,0.4487858,0.8498731,0.5782331,0.468775,0.6547738,0.1300237,0.1386206,0.512512,0.2763746,0.3320855,0.3425953,0.3454433,0.7191812,0.6875881,0.8320301,0.02892923,0.02354968,0.7605146,0.0159229,0.6878514,0.3201649,0.7211316,0.3516015,0.01623404,0.3852893,0.3433598
2023-07-17 15:58:06:6503,0.3399115,0.7668538,0.08581364,0.3082625,0.5556026,0.3131829,0.05624199,0.9374027,0.9432173,0.9033291,0.8791031,0.07877159,0.2397177,0.1385201,0.3040779,0.6120072,0.8792386,0.8110045,0.3852977,0.6556445,0.5380178,0.007371306,0.5857804,0.03034401,0.7166785,0.6254274,0.8412836,0.8622787,0.8845766,0.371671,0.4520839,0.138422,0.6119625
2023-07-17 15:58:07:1853,0.228012,0.1736054,0.1925972,0.6157445,0.8004649,0.9893788,0.5000152,0.1891021,0.5866422,0.4996124,0.02187669,0.1655482,0.5933307,0.8857236,0.2282625,0.174998,0.1232761,0.1218511,0.6144063,0.5847554,0.6615603,0.4407174,0.2326655,0.6491045,0.8089925,0.5622262,0.6792226,0.256735,0.127798,0.007614374,0.03755927,0.3694702,0.4349387
2023-07-17 15:58:07:6551,0.9985666,0.9848244,0.5309696,0.1502384,0.4429618,0.2022427,0.5239719,0.8234117,0.3064,0.8124527,0.133939,0.749979,0.2561892,0.8413546,0.109181,0.04528177,0.4966632,0.1269531,0.955229,0.8055556,0.1717529,0.8417747,0.2705272,0.2396264,0.2245688,0.7987627,0.9234033,0.8075603,0.05012643,0.4496302,0.7482265,0.3557628,0.2100116
2023-07-17 15:58:08:1561,0.1501989,0.484717,0.8946568,0.002898693,0.2185643,0.455002,0.879266,0.5566905,0.5910605,0.1080422,0.9856998,0.1848453,0.9850597,0.8619146,0.4259241,0.9642389,0.9168478,0.9749606,0.333466,0.06818485,0.3589479,0.4183485,0.3238493,0.1704297,0.8601202,0.04143965,0.306399,0.2566703,0.02146947,0.004936695,0.06477427,0.4645205,0.2360091
2023-07-17 15:58:08:6551,0.005786896,0.7982081,0.3353859,0.1761702,0.6505213,0.8762608,0.6249933,0.1248076,0.5889682,0.5554561,0.5383454,0.05720949,0.5510625,0.1051528,0.7897559,0.03076231,0.7990404,0.4230571,0.4783749,0.3037241,0.314598,0.0549916,0.611847,0.0233345,0.6003671,0.1380782,0.310195,0.47017,0.9400039,0.4842743,0.571207,0.6351358,0.03258848
2023-07-17 15:58:09:1561,0.3146132,0.9815046,0.6573792,0.1293234,0.6728828,0.3272125,0.8187362,0.128511,0.4463984,0.03252482,0.3839843,0.5484442,0.2625898,0.5417164,0.9909347,0.7337545,0.2028313,0.7731558,0.562406,0.5961882,0.5979649,0.7735655,0.9732425,0.3028278,0.9938016,0.9993714,0.2161884,0.2475872,0.9358573,0.3099861,0.08972549,0.7365884,0.5540146
2023-07-17 15:58:09:6621,0.5387314,0.6755474,0.6254452,0.4917518,0.8574861,0.3367316,0.894743,0.3439034,0.2187133,0.61067,0.160923,0.1768692,0.06529248,0.8008341,0.01801777,0.3074372,0.7017932,0.2334743,0.7227839,0.230181,0.1140195,0.7968953,0.5508223,0.08830678,0.6840082,0.04477215,0.2635906,0.289822,0.07093155,0.775232,0.6866013,0.106003,0.8237441
2023-07-17 15:58:10:1581,0.6083261,0.6024694,0.5255608,0.6842071,0.5426771,0.155828,0.1352509,0.2694891,0.417868,0.15999,0.265195,0.8877082,0.9884468,0.5846342,0.8073193,0.1430955,0.8006831,0.8831031,0.4999836,0.2275107,0.3335097,0.8455111,0.4743814,0.8543257,0.9594063,0.3353319,0.3990424,0.6302342,0.2217561,0.9953297,0.6622982,0.1989539,0.8599813
2023-07-17 15:58:10:6601,0.1217971,0.5814096,0.4622684,0.008239746,0.6975456,0.009514093,0.4226173,0.3900926,0.9590027,0.1427007,0.6933074,0.8358189,0.75846,0.419992,0.1250954,0.8757637,0.9452504,0.7451593,0.9331741,0.03827882,0.7473391,0.9614396,0.1010587,0.9740864,0.4210971,0.5631457,0.1596268,0.8841745,0.04152453,0.9678068,0.6040304,0.5929142,0.1197079
2023-07-17 15:58:11:1601,0.6558193,0.02854502,0.09053409,0.5099869,0.03102446,0.9189312,0.8537142,0.5851627,0.7050332,0.9447542,0.8394303,0.4886383,0.830049,0.4413024,0.6405489,0.3050724,0.9993558,0.4731616,0.5259203,0.7538992,0.294195,0.9133314,0.818043,0.7105676,0.6356615,0.8227012,0.1853164,0.6843021,0.7160683,0.4671059,0.6933007,0.04667723,0.9619825
2023-07-17 15:58:11:6621,0.09810054,0.1684356,0.4067037,0.2908606,0.04831326,0.5912883,0.6181603,0.07041061,0.01421821,0.07774377,0.7797675,0.3587852,0.5944863,0.6167049,0.5811574,0.3879513,0.8687795,0.9018717,0.5635424,0.4723174,0.6546149,0.4137356,0.5960963,0.644944,0.08621228,0.7907605,0.7095746,0.02959371,0.3913152,0.2027092,0.5101416,0.4376809,0.9210662
2023-07-17 15:58:12:1621,0.8461788,0.9379576,0.6557146,0.851586,0.3314491,0.4930533,0.5341974,0.7315369,0.11245,0.9746523,0.1504167,0.5841193,0.8830179,0.3719556,0.5039154,0.09752703,0.2530363,0.7133452,0.363196,0.07382882,0.6192306,0.8952302,0.4533909,0.8141619,0.4853914,0.08492446,0.6175278,0.9825281,0.2397152,0.7807305,0.7524948,0.8487604,0.2775341
2023-07-17 15:58:12:6641,0.5879671,0.2571468,0.3906773,0.8641188,0.09470177,0.6248373,0.9327644,0.9595387,0.2397172,0.4380688,0.1735121,0.6824288,0.3274097,0.1661572,0.3900043,0.1770604,0.3147412,0.4968951,0.6159144,0.112517,0.627437,0.1971492,0.6740215,0.5012116,0.1022273,0.9508959,0.7007627,0.9757929,0.1061109,0.443695,0.582186,0.6059119,0.972183
2023-07-17 15:58:13:1641,0.725159,0.943733,0.01298332,0.08094668,0.8189222,0.772778,0.922312,0.08665109,0.7397584,0.02661455,0.1478494,0.5883517,0.9695764,0.6834737,0.6344665,0.4337506,0.177233,0.1873163,0.01673055,0.07526815,0.9604656,0.05948377,0.7053876,0.9371918,0.478095,0.3207589,0.5690884,0.256584,0.7376214,0.0916121,0.1333551,0.1383939,0.299314
2023-07-17 15:58:13:6687,0.5424502,0.7368546,0.4962825,0.9189339,0.6396117,0.9663163,0.4906971,0.5173036,0.3402752,0.3927729,0.9144133,0.2330314,0.6758014,0.8145231,0.5243518,0.129838,0.6957195,0.8820479,0.6281177,0.9200559,0.6387533,0.2302847,0.9979652,0.5518844,0.7069153,0.4844455,0.06768227,0.8380737,0.832191,0.8267599,0.1770333,0.8814317,0.2952422
2023-07-17 15:58:14:1686,0.9169555,0.582068,0.7200137,0.7851384,0.1162471,0.465015,0.2496334,0.4943151,0.4590723,0.8962909,0.4814481,0.7057188,0.3454221,0.6640313,0.2020715,0.7345179,0.178951,0.8005224,0.7348349,0.8405294,0.188683,0.6147179,0.8562942,0.6477195,0.7331972,0.8966599,0.5209253,0.5789339,0.2338973,0.7663498,0.8394976,0.121021,0.1626006
2023-07-17 15:58:14:6676,0.9832736,0.1527072,0.663771,0.9257187,0.6429511,0.5062103,0.08867884,0.2864987,0.04750752,0.5526773,0.3128552,0.3881778,0.9084512,0.9635619,0.8181161,0.8644873,0.7174157,0.6229135,0.7347872,0.600376,0.7372192,0.5349384,0.5843114,0.2843626,0.05127358,0.5666468,0.6444753,0.5304237,0.7262175,0.1174358,0.7071936,0.7415645,0.3119169
2023-07-17 15:58:15:1696,0.5261504,0.7773682,0.574747,0.8110607,0.9275928,0.2667177,0.8287044,0.1016135,0.4474071,0.06793582,0.391532,0.5936304,0.161489,0.6093383,0.5152501,0.1172352,0.2034341,0.9271612,0.6104262,0.4620473,0.8942736,0.7336147,0.1290408,0.5610139,0.1211466,0.2518396,0.2684652,0.7055408,0.6954564,0.3540851,0.9051514,0.511347,0.4310909
2023-07-17 15:58:15:6687,0.5274457,0.8021244,0.9706146,0.50858,0.2498327,0.6040382,0.212502,0.6685085,0.3170115,0.2066194,0.2340014,0.8813859,0.3543023,0.3141249,0.2059456,0.1047564,0.03884602,0.6182752,0.7375512,0.3287181,0.9058931,0.372889,0.7332405,0.2466958,0.814558,0.7153708,0.7910234,0.4025729,0.09629524,0.5446363,0.9455428,0.6177624,0.6519991
2023-07-17 15:58:16:1686,0.8560796,0.4997284,0.9486243,0.3483178,0.6467801,0.5579371,0.8179356,0.2598179,0.4302288,0.1689668,0.1839579,0.5530068,0.4571018,0.6175494,0.07535851,0.8828224,0.03740287,0.0120641,0.1076415,0.8570355,0.5451426,0.5002049,0.8078552,0.1529505,0.6201424,0.8298299,0.5929905,0.2146438,0.5762573,0.9746152,0.1924423,0.05491126,0.1983924
2023-07-17 15:58:16:6726,0.8505679,0.5578108,0.9098165,0.9282109,0.9394935,0.914786,0.5723854,0.03862202,0.7250106,0.3449796,0.6118459,0.6888087,0.1948887,0.4722494,0.1942277,0.6827321,0.8509419,0.1905558,0.9249457,0.1817378,0.7641965,0.797014,0.8739544,0.2142603,0.959918,0.3865469,0.3734987,0.1276476,0.7006482,0.3232153,0.07916594,0.8268965,0.08923292
2023-07-17 15:58:17:1727,0.25997,0.1849718,0.9489168,0.6690866,0.5889065,0.8355793,0.379603,0.1351777,0.9775568,0.5868219,0.8995084,0.8716769,0.4486987,0.9150319,0.01496303,0.858184,0.2523596,0.3421772,0.5000107,0.313731,0.6227227,0.9220721,0.2780109,0.7303698,0.4742518,0.5067895,0.6228061,0.1711777,0.7617549,0.7672026,0.2884844,0.02246797,0.6989274
2023-07-17 15:58:17:6726,0.1674869,0.4833127,0.1551148,0.2746199,0.8467784,0.1084075,0.5750605,0.1076492,0.09079421,0.6101188,0.4037809,0.2293332,0.4258037,0.04616761,0.9079578,0.8350331,0.08786893,0.4843891,0.4320789,0.3610234,0.7672755,0.4820053,0.142959,0.5968251,0.02492893,0.3703246,0.5630005,0.04319274,0.5024175,0.9410913,0.4963269,0.5551466,0.686093
2023-07-17 15:58:18:1716,0.4286236,0.06990016,0.4220406,0.1970046,0.2317066,0.9431005,0.1232351,0.10007,0.08759952,0.557077,0.2577198,0.4067023,0.1066002,0.6458559,0.216568,0.1322412,0.3781056,0.362767,0.2503334,0.1940243,0.5402489,0.4269531,0.5598013,0.8991835,0.3735445,0.4749313,0.7462696,0.6263981,0.08396101,0.218658,0.1330088,0.179575,0.9948338
2023-07-17 15:58:18:6726,0.7840405,0.5035412,0.7152497,0.5883055,0.5302384,0.8094178,0.756555,0.29283,0.01450574,0.5773334,0.7861784,0.3597576,0.9187713,0.4605431,0.8934698,0.9906926,0.5287688,0.4287307,0.1881092,0.07303119,0.6975209,0.8883722,0.367798,0.3291546,0.1486695,0.3557411,0.875174,0.8161573,0.1532116,0.3053896,0.2057376,0.6275083,0.4307691
